Broker    Stock          Value     Changes   Date and Time
Broker 4        Technology     197       18        9/23/2024 9:14:50 PM
Broker 1        Retail         49        19        9/23/2024 9:14:51 PM
Broker 4        Retail         49        19        9/23/2024 9:14:51 PM
Broker 2        Commodity      703       19        9/23/2024 9:14:51 PM
Broker 2        Technology     198       19        9/23/2024 9:14:51 PM
Broker 4        Commodity      703       19        9/23/2024 9:14:51 PM
Broker 3        Banking        127       19        9/23/2024 9:14:51 PM
Broker 4        Banking        127       19        9/23/2024 9:14:51 PM
Broker 3        Technology     198       19        9/23/2024 9:14:51 PM
Broker 4        Technology     198       19        9/23/2024 9:14:51 PM
Broker 1        Retail         50        20        9/23/2024 9:14:51 PM
Broker 4        Retail         50        20        9/23/2024 9:14:51 PM
Broker 2        Banking        129       20        9/23/2024 9:14:51 PM
Broker 2        Commodity      706       20        9/23/2024 9:14:51 PM
Broker 3        Banking        129       20        9/23/2024 9:14:51 PM
Broker 4        Commodity      706       20        9/23/2024 9:14:51 PM
Broker 4        Banking        129       20        9/23/2024 9:14:51 PM
Broker 1        Technology     201       20        9/23/2024 9:14:51 PM
Broker 2        Technology     201       20        9/23/2024 9:14:51 PM
Broker 3        Technology     201       20        9/23/2024 9:14:51 PM
Broker 4        Technology     201       20        9/23/2024 9:14:51 PM
Broker 1        Retail         51        21        9/23/2024 9:14:52 PM
Broker 4        Retail         51        21        9/23/2024 9:14:52 PM
Broker 2        Banking        132       21        9/23/2024 9:14:52 PM
Broker 2        Commodity      721       21        9/23/2024 9:14:52 PM
Broker 1        Technology     204       21        9/23/2024 9:14:52 PM
Broker 4        Commodity      721       21        9/23/2024 9:14:52 PM
Broker 2        Technology     204       21        9/23/2024 9:14:52 PM
Broker 3        Banking        132       21        9/23/2024 9:14:52 PM
Broker 3        Technology     204       21        9/23/2024 9:14:52 PM
Broker 4        Banking        132       21        9/23/2024 9:14:52 PM
Broker 4        Technology     204       21        9/23/2024 9:14:52 PM
Broker 1        Retail         52        22        9/23/2024 9:14:52 PM
Broker 4        Retail         52        22        9/23/2024 9:14:52 PM
Broker 2        Commodity      732       22        9/23/2024 9:14:53 PM
Broker 4        Commodity      732       22        9/23/2024 9:14:53 PM
Broker 1        Technology     207       22        9/23/2024 9:14:53 PM
Broker 2        Banking        135       22        9/23/2024 9:14:53 PM
Broker 2        Technology     207       22        9/23/2024 9:14:53 PM
Broker 3        Banking        135       22        9/23/2024 9:14:53 PM
Broker 3        Technology     207       22        9/23/2024 9:14:53 PM
Broker 4        Banking        135       22        9/23/2024 9:14:53 PM
Broker 4        Technology     207       22        9/23/2024 9:14:53 PM
Broker 1        Retail         53        23        9/23/2024 9:14:53 PM
Broker 4        Retail         53        23        9/23/2024 9:14:53 PM
Broker 2        Commodity      740       23        9/23/2024 9:14:53 PM
Broker 1        Technology     209       23        9/23/2024 9:14:53 PM
Broker 2        Banking        137       23        9/23/2024 9:14:53 PM
Broker 4        Commodity      740       23        9/23/2024 9:14:53 PM
Broker 2        Technology     209       23        9/23/2024 9:14:53 PM
Broker 3        Banking        137       23        9/23/2024 9:14:53 PM
Broker 3        Technology     209       23        9/23/2024 9:14:53 PM
Broker 4        Banking        137       23        9/23/2024 9:14:53 PM
Broker 4        Technology     209       23        9/23/2024 9:14:53 PM
Broker 1        Retail         54        24        9/23/2024 9:14:54 PM
Broker 4        Retail         54        24        9/23/2024 9:14:54 PM
Broker 2        Banking        139       24        9/23/2024 9:14:54 PM
Broker 2        Commodity      757       24        9/23/2024 9:14:54 PM
Broker 4        Commodity      757       24        9/23/2024 9:14:54 PM
Broker 1        Technology     211       24        9/23/2024 9:14:54 PM
Broker 3        Banking        139       24        9/23/2024 9:14:54 PM
Broker 2        Technology     211       24        9/23/2024 9:14:54 PM
Broker 4        Banking        139       24        9/23/2024 9:14:54 PM
Broker 3        Technology     211       24        9/23/2024 9:14:54 PM
Broker 4        Technology     211       24        9/23/2024 9:14:54 PM
Broker 1        Retail         55        25        9/23/2024 9:14:54 PM
Broker 4        Retail         55        25        9/23/2024 9:14:54 PM
Broker 1        Technology     213       25        9/23/2024 9:14:54 PM
Broker 2        Banking        141       25        9/23/2024 9:14:54 PM
Broker 2        Commodity      775       25        9/23/2024 9:14:54 PM
Broker 2        Technology     213       25        9/23/2024 9:14:54 PM
Broker 3        Banking        141       25        9/23/2024 9:14:54 PM
Broker 4        Commodity      775       25        9/23/2024 9:14:54 PM
Broker 3        Technology     213       25        9/23/2024 9:14:54 PM
Broker 4        Banking        141       25        9/23/2024 9:14:54 PM
Broker 4        Technology     213       25        9/23/2024 9:14:54 PM
